Postal Code,Latitude,Longitude
28001,40.4259,-3.6854
28002,40.4391,-3.674
28003,40.4401,-3.6988
28004,40.4212,-3.7016
28005,40.4049,-3.7119
28006,40.4343,-3.6813
28007,40.4069,-3.674
28008,40.4256,-3.7158
28009,40.42,-3.6784
28010,40.4306,-3.6933
28011,40.4229272,-3.7662181
28012,40.4139,-3.7006
28013,40.4192,-3.7041
28014,40.4148,-3.6952
28015,40.4291,-3.7095
28016,40.4331,-3.6865
28017,40.4268741,-3.6494848
28018,40.3832034,-3.658468
28019,40.3941,-3.7078
28020,40.4562,-3.6961
28021,40.3384433,-3.7028319
28022,40.4291,-3.6666
28023,40.4625469,-3.7824135
28024,40.3827693,-3.7937757
28025,40.3818529,-3.7358532
28026,40.383251,-3.706297
28027,40.4435,-3.6486
28028,40.4352,-3.6729
28029,40.4661,-3.6962
28030,40.407094,-3.644708
28031,40.378765,-3.62092
28032,40.404796,-3.607768
28033,40.4661,-3.6718
28034,40.4875,-3.699
28035,40.4776,-3.7392
28036,40.4653,-3.6844
28037,40.4316,-3.6355
28038,40.395911,-3.650981
28039,40.461957,-3.708407
28040,40.4492,-3.7115
28041,40.365821,-3.699192
28042,40.4605,-3.6223
28043,40.4554,-3.6541
28044,40.3865,-3.713
28045,40.4024,-3.6924
28046,40.45,-3.6892
28047,40.393405,-3.750271
28048,40.5333,-3.7667
28049,40.529001,-3.691574
28050,40.4909,-3.6699
28051,40.359186,-3.60171
28052,40.401468,-3.556655
28053,40.3908,-3.6865
28054,40.36401,-3.76154
28055,40.49292,-3.62356
